solvent,reference,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
M-CRESOL,Park1987,,,,,,,,,,
M-XYLENE,Stephens2011a,,,,,,,,,,
METHANOL,Sprunger2009a,,,,,,,,,,
METHOXYETHANOL,Hart2015,,,,,,,,,,
METHOXYPROPANE,Based on activity coefficient equal to unity,,,,,,,,,,
METHYL ACETATE,Sprunger2008,,,,,,,,,,
METHYL TERT-BUTYL ETHER,Grubbs2010,,,,,,,,,,
METHYLCYCLOHEXANE,Wilhelm1973,Kikic1980,Jain1982,Antosik1994,Nagata1999,Nagata1999a,Nagata1999b,Nagata1999c,Nagata1999d,Pividal1992,Jain1984
N-BUTANOL,Sprunger2009a,,,,,,,,,,
N-ETHYLACETAMIDE,Abraham2009,,,,,,,,,,
N-ETHYLFORMAMIDE,Abraham2009,,,,,,,,,,
N-METHYLACETAMIDE,Abraham2009,Shokouhi2015,,,,,,,,,
N-METHYLFORMAMIDE,Abraham2009,,,,,,,,,,
N-METHYLPYRROLIDONE,Abraham2009,Liang2018,,,,,,,,,
"N,N-DIBUTYLFORMAMIDE",Abraham2009,,,,,,,,,,
"N,N-DIETHYLACETAMIDE",Abraham2009,,,,,,,,,,
"N,N-DIMETHYLACETAMIDE",Abraham2009,,,,,,,,,,
NITROBENZENE,Park1987,Eikens1993,,,,,,,,,
NITROETHANE,Park1987,,,,,,,,,,
NITROMETHANE,Park1987,Eikens1993,,,,,,,,,
NONANE,Park1987,Eikens1993,Hesse1996,Gonzalez1987,,,,,,,
NONANOL,Bo1993 (Bo1963),Pollack1984,Gracia1999,,,,,,,,
O-XYLENE,Stephens2011a,,,,,,,,,,
OCTANE,Stephens2012,,,,,,,,,,
P-XYLENE,Stephens2011a,,,,,,,,,,
PENTAN-2-ONE,Bub1979,,,,,,,,,,
PENTAN-3-OL,Miyano2005,Miyano2006,,,,,,,,,
PENTANE,Makranczy1976,Eikens1993,Park1987,Hayduk1986,Khurma1983,Li1999,Korenman1973,VanNess1984,,,
PENTANOL,Sprunger2009a,,,,,,,,,,
PENTYL ACETATE,Sedov2018a,,,,,,,,,,
PERFLUOROBENZENE,Park1987,Evans1971,,,,,,,,,
PHENYLAMINE,Abraham2015,,,,,,,,,,
PROPIONITRILE,Hart2017a,,,,,,,,,,
PROPYL ACETATE,Sedov2018,,,,,,,,,,
PROPYL ETHER,Lepori1991,Lepori1990,Lepori1988,Battino1983,Battino1984,Garriga1998,Garriga1998a,Garriga1997,Garriga1997a,Garriga1997b,
PROPYLENE CARBONATE,Abraham2010,Liang2018,,,,,,,,,
PYRIDINE,Sedov2017,,,,,,,,,,
SULFOLANE,Stephens2011,,,,,,,,,,
TERT-AMYL ALCOHOL,Miyano2006,Miyano2005b,,,,,,,,,
TERT-AMYL METHYL ETHER,Moessner1996,Mossner1997,delRio2001,delRio2001a,delRio2002,delRio2002a,,,,,
TERT-BUTANOL,Sprunger2010a,,,,,,,,,,
TETRADECANE,Vrbka2002,Mokbel1998,,,,,,,,,
TETRAETHYLENE GLYCOL DIMETHYL ETHER,Hart2017,,,,,,,,,,
TETRAHYDROFURAN,Abraham2003,Saifullah2011,,,,,,,,,
TETRAHYDROPYRAN,Gibanel1994,Miyano2007,,,,,,,,,
TOLUENE,Stephens2011b,,,,,,,,,,
TRIBUTYL PHOSPHATE,Brumfield2015,Liang2018,,,,,,,,,
TRIETHYLAMINE,Park1987,Eikens1993,,,,,,,,,
UNDECANE,Abraham2004,,,,,,,,,,
UNDECANOL,Based on activity coefficient equal to unity,,,,,,,,,,
